GeneID	cluster#	1hr	3hr	6hr	12hr	24hr
 1458718_at 	2	0.3	0.8	0.5	-0.2	1.4
 1444040_at 	3	0	-0.2	-0.9	-1.5	-1.2
 1449080_at 	3	-0.1	-0.2	-0.8	-1.5	-1.2
 1428706_at 	3	-0.1	-0.4	-0.8	-1.4	-1.2
 1415860_at 	3	-0.2	-0.2	-0.8	-1.6	-1.1
 1416073_a_at 	3	-0.1	-0.2	-0.9	-1.7	-1
 1448795_a_at 	3	-0.1	-0.3	-0.8	-1.5	-1
 1428756_at 	3	-0.2	-0.4	-0.9	-1.8	-1.2
 1429012_at 	3	-0.1	-0.2	-0.7	-1.9	-1
 1415773_at 	3	0	0	-0.7	-1.7	-1.4
 1415839_a_at 	3	0.1	-0.1	-0.6	-1.5	-1.3
 1436247_at 	3	0.1	-0.2	-0.7	-1.6	-1.3
 1445684_s_at 	3	0	-0.1	-0.7	-1.5	-1.6
 1436443_a_at 	3	-0.1	-0.3	-0.5	-1.4	-1.3
 1448809_at 	3	-0.1	-0.1	-0.6	-1.4	-1.3
 1415872_at 	3	0.2	-0.3	-0.7	-1.2	-1.1
 1436462_at 	3	0.1	-0.3	-0.9	-1.2	-1.2
 1429169_at 	3	0.3	-0.3	-0.9	-1.3	-1.6
 1458703_at 	3	0.2	-0.5	-0.8	-1.3	-1.5
 1436070_at 	3	0.1	-0.3	-0.9	-1.5	-1.4
 1448666_s_at 	3	-0.2	-0.6	-1.1	-1.1	-1.4
 1460735_at 	3	-0.1	-0.7	-1.1	-1.2	-1.2
 1460694_s_at 	3	0.1	-0.5	-1.1	-1.2	-1.2
 1448667_x_at 	3	-0.2	-0.4	-0.9	-1.2	-1.3
 1460228_at 	3	-0.2	-0.2	-1.1	-1.3	-1.2
 1415772_at 	3	-0.1	-0.4	-1.5	-1.7	-1.5
 1436684_a_at 	3	0.1	-0.2	-1.4	-1.6	-1.4
 1448794_s_at 	3	0	-0.3	-1.2	-1.6	-1.5
 1416065_a_at 	3	-0.1	-0.5	-1.2	-1.5	-1.4
 1459861_s_at 	3	-0.2	-0.6	-1.2	-1.7	-1.5
