GeneID	rep1	rep2	rep3	rep4	rep5	rep6	rep7	rep8	
1459151_x_at	10	8	8	8	10	1	6	9	
1459529_at	5	3	1	3	6	4	2	2	
1459680_at	7	6	2	10	3	5	1	10	
1459861_s_at	5	5	10	7	7	4	10	8	
1459875_x_at	3	10	9	5	7	9	7	3	
1459981_s_at	2	7	7	6	5	10	4	1	
1460184_at	9	2	6	3	1	6	2	2	
1460188_at	2	7	5	1	9	10	8	1	
1460194_at	2	7	5	1	9	10	8	1	
1460203_at	10	8	8	8	10	1	6	9	
1460228_at	5	5	10	7	6	8	9	2	
1460268_at	10	8	8	8	10	1	6	9	
1460307_at	2	8	8	8	10	1	6	1	
1460316_at	2	8	8	8	10	1	6	1	
1460317_s_at	2	7	5	1	9	10	8	1	
1460323_at	9	2	6	3	6	6	2	2	
1460353_at	7	4	2	10	2	2	10	8	
1460359_at	9	2	4	2	1	8	3	7	
1460367_at	2	7	5	1	9	10	8	1	
1460373_a_at	2	7	5	1	9	10	8	1	
1460389_at	9	2	6	3	6	6	2	2	
1460439_at	1	7	5	1	9	10	8	5	
1460445_at	9	2	6	2	1	8	9	2	
1460447_at	3	4	10	7	7	9	7	3	
1460469_at	1	7	5	1	9	10	8	5	
1460495_s_at	10	8	8	8	10	1	6	9	
1460521_a_at	2	7	5	1	9	10	8	1	
1460551_at	4	1	4	2	1	8	3	7	
1460561_x_at	2	7	5	1	9	10	8	1	
1460571_at	9	2	6	2	1	8	9	2	
1460600_at	9	2	6	2	1	8	9	2	
1460603_at	10	8	8	8	10	1	6	9	
1460614_at	10	8	8	8	10	1	6	9	
1460638_at	9	2	6	3	6	6	2	2	
1460650_at	4	1	4	2	1	8	3	7	
1460655_a_at	9	2	6	3	6	6	2	2	
1460672_at	7	6	2	10	3	5	1	10	
1460675_at	2	7	5	1	9	10	8	1	
1460678_at	5	3	1	3	6	4	10	8	
1460694_s_at	5	5	10	7	6	8	9	2	
1460716_a_at	4	1	4	2	1	8	3	7	
1460726_at	9	2	6	2	1	6	2	2	
1460735_at	5	5	10	7	6	4	9	2	
